Title,Body,Labels
Story: Mandi price feed ingestion (manual + API-ready),"Ingest daily mandi prices (CSV/manual first, API later). Acceptance: district crop price charts.",story;market;P0
Story: Price alerts + best-sell window nudges,"Farmer sets crop + target price; system alerts. Acceptance: alerts sent + logged.",story;market;P1
Story: Create listing (crop lot + quality attributes),"Farmer posts listing with quantity, moisture, grade, photos. Acceptance: listing searchable.",story;market;P0
Story: Buyer bidding & offer acceptance,"Buyers submit bids; farmer accepts; generates order. Acceptance: order created + status tracked.",story;market;P0
Story: Logistics quote & scheduling placeholder,"Integrate logistics as module stub (manual partner first). Acceptance: pickup scheduled + status updates.",story;market;P2
Story: Escrow settlement for trade,"Hold buyer funds; release on delivery confirmation. Acceptance: escrow ledger entries + release rules.",story;market;payments;P1

EPIC: Data & KPI Dashboard (Punjab outcomes),"Goal: Track success metrics: cost/acre reduction, rental adoption, distress sales reduction, payment speed.",epic;analytics;P0
Story: KPI definitions + calculation service,"Implement KPI engine: rental usage %, cost/acre, time-to-payment, distress sale proxy. Acceptance: API outputs.",story;analytics;P0
Story: Farmer dashboard (simple, voice-friendly),"Show: cost/acre, bookings, payments, price alerts. Acceptance: usable in low literacy context.",story;analytics;P0
Story: Govt dashboard (district heatmaps) v1,"District metrics for adoption, service volume, payment speed. Acceptance: filters by tehsil/district.",story;analytics;P1
Story: Audit logs + transparency reports,"Generate reports for subsidies/settlements/disputes. Acceptance: exportable CSV + role-limited.",story;analytics;security;P1

EPIC: Security & Compliance (India-ready),"Goal: Build trust: privacy, audit, secure storage, DPDP-aligned practices.",epic;security;P0
Story: Data classification + retention policy,"Define data classes and retention windows. Acceptance: documented + enforced in code config.",story;security;P1
Story: Secure storage for proofs (S3-like) + encryption,"Store proof-of-service photos securely with encryption at rest. Acceptance: signed URLs + access control.",story;security;P0
Story: Threat model + abuse prevention,"Prevent fake proofs, location spoofing signals, rate-limit endpoints. Acceptance: controls + monitoring.",story;security;P1

EPIC: Pilot Operations (Punjab rollout playbook),"Goal: Run a district pilot with CHCs, banks, and selected crops (wheat/paddy).",epic;ops;P0
Story: District pilot selection + onboarding checklist,"Create checklist: CHC onboarding, bank partner, mandi price source, helpline. Acceptance: pilot kit in docs.",story;ops;P0
Story: Training modules (farmer/provider) in Punjabi,"Scripts + screenshots + short videos outline. Acceptance: training content ready.",story;ops;P1
Story: Field support ticketing (helpline),"Basic ticket system for pilot. Acceptance: tickets created, routed, resolved.",story;ops;P1
